Key,Source,Russian,English
"ui.button.again","Code:Constant","Assets/_DiceBattle/Scripts/UI/Screens/TavernScreen.cs:71",
"ui.button.end_turn","Code:Constant","Assets/_DiceBattle/Scripts/Core/GameLogic.cs:239",
"ui.button.roll_all","Code:Constant","Assets/_DiceBattle/Scripts/Core/GameLogic.cs:163",
"ui.button.stay","Code:Constant","Assets/_DiceBattle/Scripts/UI/Screens/TavernScreen.cs:72",
"ui.message.attempts","Code:Constant","Assets/_DiceBattle/Scripts/Core/GameLogic.cs:258",
"ui.message.left","Code:Constant","Assets/_DiceBattle/Scripts/Core/GameLogic.cs:259",
"ui.window.restart_message","Code:Constant","Assets/_DiceBattle/Scripts/UI/Screens/TavernScreen.cs:70",
"ui.window.restart_title","Code:Constant","Assets/_DiceBattle/Scripts/UI/Screens/TavernScreen.cs:69",
"DYNAMIC:_localizationKey","Code:Dynamic","Assets/_DiceBattle/Scripts/Localization/LocalizedTMP.cs:35",
"DYNAMIC:_unitData.Name","Code:Dynamic","Assets/_DiceBattle/Scripts/UI/Units/UnitPanel.cs:37",
"DYNAMIC:key","Code:Dynamic","Assets/_DiceBattle/Scripts/UI/Components/Innkeeper.cs:26",
"DYNAMIC:localizationKey","Code:Dynamic","Assets/_DiceBattle/Scripts/UI/Screens/MainMenuScreen.cs:147",
"DYNAMIC:nextEnemy.Description","Code:Dynamic","Assets/_DiceBattle/Scripts/UI/Windows/QuestWindow.cs:29",
"Config:GameConfig.DefaultInventory.Array.data[0].ID","Config:GameConfig","0",
"Config:GameConfig.DefaultInventory.Array.data[1].ID","Config:GameConfig","1",
"Config:GameConfig.DefaultInventory.Array.data[2].ID","Config:GameConfig","2",
"Config:GameConfig.DefaultInventory.Array.data[3].ID","Config:GameConfig","3",
"Config:GameConfig.DefaultInventory.Array.data[4].ID","Config:GameConfig","4",
"Config:GameConfig.Enemies.Array.data[0].Description","Config:GameConfig","Забрелся в погреб и съел чьё-то сапоги. Почти безобидный, но вонюче прилипает.",
"Config:GameConfig.Enemies.Array.data[0].Name","Config:GameConfig","Малый слайм",
"Config:GameConfig.Enemies.Array.data[1].Description","Config:GameConfig","Разросся на объедках с кухни трактира. Медленный, но затянет в себя зазевавшегося.",
"Config:GameConfig.Enemies.Array.data[1].Name","Config:GameConfig","Слайм",
"Config:GameConfig.Enemies.Array.data[2].Description","Config:GameConfig","Слопал соседей поменьше и раздулся с бочку. Медлителен, но давит массой.",
"Config:GameConfig.Enemies.Array.data[2].Name","Config:GameConfig","Большой слайм",
"Config:GameConfig.Enemies.Array.data[3].Description","Config:GameConfig","Стрелял по деревне ради развлечения — своей плоти уже не осталось. Бьёт издали, брони нет.",
"Config:GameConfig.Enemies.Array.data[3].Name","Config:GameConfig","Скелет лучник",
"Config:GameConfig.Enemies.Array.data[4].Description","Config:GameConfig","Не помнит, кем был при жизни, зато помнит, как держать щит. Крепче лучника, злее вдвойне.",
"Config:GameConfig.Enemies.Array.data[4].Name","Config:GameConfig","Скелет воин",
"Config:GameConfig.Enemies.Array.data[5].Description","Config:GameConfig","Вырвался из треснувшего амулета мага. Бьёт стихией наотмашь, но защититься нечем.",
"Config:GameConfig.Enemies.Array.data[5].Name","Config:GameConfig","Элементаль",
"Config:GameConfig.Enemies.Array.data[6].Description","Config:GameConfig","Тот же амулет, только маг влил в него всю оставшуюся ярость. Урон страшный, брони — ноль.",
"Config:GameConfig.Enemies.Array.data[6].Name","Config:GameConfig","Большой элементаль",
"Config:GameConfig.Enemies.Array.data[7].Description","Config:GameConfig","Вылез из старых катакомб и облюбовал колодец. Шкура плотная, кусает не спеша, но больно.",
"Config:GameConfig.Enemies.Array.data[7].Name","Config:GameConfig","Ящер",
"Config:GameConfig.Enemies.Array.data[8].Description","Config:GameConfig","Вожак стаи из катакомб, носит трофейные доспехи предыдущего героя. Живуч и бьёт крепко.",
"Config:GameConfig.Enemies.Array.data[8].Name","Config:GameConfig","Ящер воин",
"Config:GameConfig.Enemies.Array.data[9].Description","Config:GameConfig","Съел последнего героя и его лошадь — заодно и трактир, где тот хвастался победой. Осторожнее.",
"Config:GameConfig.Enemies.Array.data[9].Name","Config:GameConfig","Дракон",
"Config:GameConfig.PlayerClasses.Array.data[0].Name","Config:GameConfig","Ланцелот",
"Config:GameConfig.PlayerClasses.Array.data[1].Name","Config:GameConfig","Робин Гуд",
"Config:GameConfig.PlayerClasses.Array.data[2].Name","Config:GameConfig","Мэрлин",
"Config:InnkeeperConfig._messages.Array.data[0]","Config:InnkeeperConfig","Путник, добро пожаловать!",
"Config:InnkeeperConfig._messages.Array.data[1]","Config:InnkeeperConfig","Добро пожаловать в таверну!",
"Config:InnkeeperConfig._messages.Array.data[2]","Config:InnkeeperConfig","Приключения ждут вас!",
"Config:InnkeeperConfig._messages.Array.data[3]","Config:InnkeeperConfig","На дорогах нынче не спокойно.",
"Config:InnkeeperConfig._messages.Array.data[4]","Config:InnkeeperConfig","Монстры повадились нападать на простых путников.",
"Config:InnkeeperConfig._messages.Array.data[5]","Config:InnkeeperConfig","Не спокойные времена настали.",
"Config:InnkeeperConfig._messages.Array.data[6]","Config:InnkeeperConfig","Ваше присутствие - это честь для нас!",
"Config:InnkeeperConfig._messages.Array.data[7]","Config:InnkeeperConfig","Говорят, что появился герой, что истребляет нечисть.",
"Config:InnkeeperConfig._messages.Array.data[8]","Config:InnkeeperConfig","Говорят, что великое зло затаилось в древней роще.",
"Config:InnkeeperConfig._messages.Array.data[9]","Config:InnkeeperConfig","Говорят, что мёртвые встают из могил.",
"Config:SplashTipsConfig._tips.Array.data[0]","Config:SplashTipsConfig","Полируем доспехи",
"Config:SplashTipsConfig._tips.Array.data[1]","Config:SplashTipsConfig","Потеряли меч",
"Config:SplashTipsConfig._tips.Array.data[10]","Config:SplashTipsConfig","Точим косу",
"Config:SplashTipsConfig._tips.Array.data[11]","Config:SplashTipsConfig","Варим зелье неизвестного назначения",
"Config:SplashTipsConfig._tips.Array.data[12]","Config:SplashTipsConfig","Прогоняем крыс из таверны",
"Config:SplashTipsConfig._tips.Array.data[13]","Config:SplashTipsConfig","Спорим с гоблином о цене",
"Config:SplashTipsConfig._tips.Array.data[14]","Config:SplashTipsConfig","Заряжаем кубики (никому не говори)",
"Config:SplashTipsConfig._tips.Array.data[2]","Config:SplashTipsConfig","Потерял мою прелесть...",
"Config:SplashTipsConfig._tips.Array.data[3]","Config:SplashTipsConfig","Бросаем кубики",
"Config:SplashTipsConfig._tips.Array.data[4]","Config:SplashTipsConfig","Точим кости",
"Config:SplashTipsConfig._tips.Array.data[5]","Config:SplashTipsConfig","Трактирщик считает монеты",
"Config:SplashTipsConfig._tips.Array.data[6]","Config:SplashTipsConfig","Прячем труп под лестницей",
"Config:SplashTipsConfig._tips.Array.data[7]","Config:SplashTipsConfig","Договариваемся с драконом",
"Config:SplashTipsConfig._tips.Array.data[8]","Config:SplashTipsConfig","Ищем выход из подземелья",
"Config:SplashTipsConfig._tips.Array.data[9]","Config:SplashTipsConfig","Пересчитываем оставшихся героев",
"Prefab:CreditsItem.CreditsItem","Prefab:CreditsItem","Backgrounds - maciaz",
"Prefab:Dice.Dice/Multiplier","Prefab:Dice","x3",
"Prefab:InventoryItem.InventoryItem/Description_Text","Prefab:InventoryItem","Description",
"Prefab:InventoryItem.InventoryItem/DiceSlot/Dice/Multiplier","Prefab:InventoryItem","x3",
"Prefab:InventoryItem.InventoryItem/Title_Text","Prefab:InventoryItem","Title",
"ui.button","Prefab:LabelButton:LocalizedTMP","Roll",
"Prefab:RewardItem.RewardItem/Text_(TMP)","Prefab:RewardItem","Награда",
"ui.slider","Prefab:Slider:LocalizedTMP","Музыка",
"Prefab:StatItem.StatItem/Value_Text","Prefab:StatItem","10/10",
"Prefab:UnitPanel.UnitPanel/Title","Prefab:UnitPanel","Hero (you)",
"Prefab:UnitPanel.UnitPanel/UnitStats/StatItem(Armor)/Value_Text","Prefab:UnitPanel","10/10",
"Prefab:UnitPanel.UnitPanel/UnitStats/StatItem(Attack)/Value_Text","Prefab:UnitPanel","10/10",
"Prefab:UnitPanel.UnitPanel/UnitStats/StatItem(Heallth)/Value_Text","Prefab:UnitPanel","10/10",
"Prefab:UnitStats.UnitStats/StatItem(Armor)/Value_Text","Prefab:UnitStats","10/10",
"Prefab:UnitStats.UnitStats/StatItem(Attack)/Value_Text","Prefab:UnitStats","10/10",
"Prefab:UnitStats.UnitStats/StatItem(Heallth)/Value_Text","Prefab:UnitStats","10/10",
"ui.window","Prefab:Window:LocalizedTMP","Заголовок",
"Scene:Boot.RootUI/SplashScreen/SplashTip","Scene:Boot","Загрузка",
"Scene:Main.RootUI/ConfirmWindow/Substrate/Window/Message","Scene:Main","вы уверены, что хотите выйти? весь прогрес боя будет потерян",
"Scene:Main.RootUI/CreditsWindow/Substrate/Window/Scroll_View/Viewport/ItemsSpawn/CreditsItem","Scene:Main","Backgrounds - maciaz",
"Scene:Main.RootUI/CreditsWindow/Substrate/Window/Scroll_View/Viewport/ItemsSpawn/CreditsItem_(1)","Scene:Main","Forest Folk - prompt.fm",
"Scene:Main.RootUI/GameOverScreen/FinalScore_Text","Scene:Main","You have defeated 5 enemies!",
"Scene:Main.RootUI/GameScreen/GameBoard/DiceHolder/Hint/HintMessage","Scene:Main","You can choose the dice to avoid throwing them.",
"Scene:Main.RootUI/GameScreen/GameBoard/DiceShaker/Dice/Multiplier","Scene:Main","x3",
"Scene:Main.RootUI/GameScreen/Top/UnitPanel(Enemy)/Title","Scene:Main","Enemy #1",
"Scene:Main.RootUI/GameScreen/Top/UnitPanel(Enemy)/UnitStats/StatItem(Armor)/Value_Text","Scene:Main","10/10",
"Scene:Main.RootUI/GameScreen/Top/UnitPanel(Enemy)/UnitStats/StatItem(Attack)/Value_Text","Scene:Main","10/10",
"Scene:Main.RootUI/GameScreen/Top/UnitPanel(Enemy)/UnitStats/StatItem(Heallth)/Value_Text","Scene:Main","10/10",
"Scene:Main.RootUI/GameScreen/Top/UnitPanel(Player)/Title","Scene:Main","Hero (you)",
"Scene:Main.RootUI/GameScreen/Top/UnitPanel(Player)/UnitStats/StatItem(Armor)/Value_Text","Scene:Main","10/10",
"Scene:Main.RootUI/GameScreen/Top/UnitPanel(Player)/UnitStats/StatItem(Attack)/Value_Text","Scene:Main","10/10",
"Scene:Main.RootUI/GameScreen/Top/UnitPanel(Player)/UnitStats/StatItem(Heallth)/Value_Text","Scene:Main","10/10",
"Scene:Main.RootUI/InventoryScreen/DiceHolder/Hint/HintMessage","Scene:Main","5 из 5",
"Scene:Main.RootUI/InventoryScreen/DiceSpawn/Dice/Multiplier","Scene:Main","x3",
"Scene:Main.RootUI/InventoryScreen/Items_ScrollView/Placeholder_Text","Scene:Main","placeholder",
"Scene:Main.RootUI/InventoryScreen/Items_ScrollView/Viewport/ItemsSpawn/InventaryItem/Description_Text","Scene:Main","Description",
"Scene:Main.RootUI/InventoryScreen/Items_ScrollView/Viewport/ItemsSpawn/InventaryItem/DiceSlot/Dice/Multiplier","Scene:Main","x3",
"Scene:Main.RootUI/InventoryScreen/Items_ScrollView/Viewport/ItemsSpawn/InventaryItem/Title_Text","Scene:Main","Title",
"Scene:Main.RootUI/InventoryScreen/Title","Scene:Main","Инвентарь",
"Scene:Main.RootUI/InventoryScreen/Top/UnitPanel(Player)/Title","Scene:Main","Hero (you)",
"Scene:Main.RootUI/InventoryScreen/Top/UnitPanel(Player)/UnitStats/StatItem(Armor)/Value_Text","Scene:Main","10/10",
"Scene:Main.RootUI/InventoryScreen/Top/UnitPanel(Player)/UnitStats/StatItem(Attack)/Value_Text","Scene:Main","10/10",
"Scene:Main.RootUI/InventoryScreen/Top/UnitPanel(Player)/UnitStats/StatItem(Heallth)/Value_Text","Scene:Main","10/10",
"Scene:Main.RootUI/LootScreen/InventoryItem_0/Description_Text","Scene:Main","Description",
"Scene:Main.RootUI/LootScreen/InventoryItem_0/DiceSlot/Dice/Multiplier","Scene:Main","x3",
"Scene:Main.RootUI/LootScreen/InventoryItem_0/Title_Text","Scene:Main","Title",
"Scene:Main.RootUI/LootScreen/InventoryItem_1/Description_Text","Scene:Main","Description",
"Scene:Main.RootUI/LootScreen/InventoryItem_1/DiceSlot/Dice/Multiplier","Scene:Main","x3",
"Scene:Main.RootUI/LootScreen/InventoryItem_1/Title_Text","Scene:Main","Title",
"Scene:Main.RootUI/LootScreen/Message_Text","Scene:Main","Выберите награду",
"Scene:Main.RootUI/LootScreen/RollAnimationArea/Dice/Multiplier","Scene:Main","x3",
"Scene:Main.RootUI/MainMenuScreen/Bottom/Button(Start)/Label","Scene:Main","в таверну",
"Scene:Main.RootUI/MainMenuScreen/RollAnimationArea/Dice/Multiplier","Scene:Main","x3",
"Scene:Main.RootUI/OptionsWindow/Substrate/Window/Version","Scene:Main","v.0.0.1",
"Scene:Main.RootUI/QuestWindow/Substrate/Window/Scroll_View/Viewport/ItemsSpawn/Description","Scene:Main","Enemy descriptions",
"Scene:Main.RootUI/QuestWindow/Substrate/Window/UnitPanel/Title","Scene:Main","Enemy",
"Scene:Main.RootUI/QuestWindow/Substrate/Window/UnitPanel/UnitStats/StatItem(Armor)/Value_Text","Scene:Main","10/10",
"Scene:Main.RootUI/QuestWindow/Substrate/Window/UnitPanel/UnitStats/StatItem(Attack)/Value_Text","Scene:Main","10/10",
"Scene:Main.RootUI/QuestWindow/Substrate/Window/UnitPanel/UnitStats/StatItem(Heallth)/Value_Text","Scene:Main","10/10",
"Scene:Main.RootUI/TavernScreen/Innkeeper/Message","Scene:Main","Добро пожаловать в таверну!",
"ui.button","Scene:Main:LocalizedTMP","Контекст",
"ui.button.all","Scene:Main:LocalizedTMP","Все",
"ui.button.credits","Scene:Main:LocalizedTMP","Credits",
"ui.button.inventory","Scene:Main:LocalizedTMP","Снаряжение",
"ui.button.quest","Scene:Main:LocalizedTMP","задание",
"ui.button.restart","Scene:Main:LocalizedTMP","новые герои",
"ui.button.settings","Scene:Main:LocalizedTMP","настройки",
"ui.button.tavern_hint","Scene:Main:LocalizedTMP","подсказки трактирщика",
"ui.game_title","Scene:Main:LocalizedTMP","Герои и кости",
"ui.slider.music_title","Scene:Main:LocalizedTMP","Музыка",
"ui.slider.sound_title","Scene:Main:LocalizedTMP","Звук",
"ui.title.win","Scene:Main:LocalizedTMP","Победа!
",
"ui.window","Scene:Main:LocalizedTMP","Выход",
"ui.window.credits_title","Scene:Main:LocalizedTMP","Credits",
"ui.window.help_message","Scene:Main:LocalizedTMP","Как играть:

  • Бросайте кости (до 3 попыток) — получите урон, броню и лечение.
  • В свой ход герой лечится, получает броню и бьёт врага (минус его броня).
  • Затем враг бьёт героя (минус броня героя), после чего броня героя спадает.
  • Цель — снизить здоровье врага до нуля раньше, чем он ваше.",
"ui.window.help_title","Scene:Main:LocalizedTMP","Help",
"ui.window.quest_title","Scene:Main:LocalizedTMP","Next enemy",
"ui.window.settings_title","Scene:Main:LocalizedTMP","Настройки",
