Key,English,German,Russian,French,Portuguese,Japanese,Chinese,Spanish
ui.game_title,,,Герои и кости,,,,,
ui.button.language,EN,GR,РУС,,,,,
ui.button.again,,,Снова,,,,,
ui.button.end_turn,,,Закончить ход,,,,,
ui.button.roll_all,,,Бросить все,,,,,
ui.button.stay,,,Остаться,,,,,
ui.button.inventory,,,Инвентарь,,,,,
ui.button.quest,,,Задания,,,,,
ui.button.restart,,,Перезапуск,,,,,
ui.button.settings,,,Настройки,,,,,
ui.button.tavern_hint,,,Подсказки трактирщика,,,,,
ui.window.credits_title,,,Создатели,,,,,
ui.window.help_message,,,"Как играть:\n• Бросайте кости (до 3 попыток) — получите урон, броню и лечение.\n• В свой ход герой лечится, получает броню и бьёт врага (минус его броня).\n• Затем враг бьёт героя (минус броня героя), после чего броня героя спадает.\n• Цель — снизить здоровье врага до нуля раньше, чем он ваше.",,,,,
ui.window.help_title,,,Подсказки,,,,,
ui.window.quest_title,,,Задания,,,,,
ui.window.settings_title,,,Настройки,,,,,
ui.window.restart_message,,,"Герои сдаются, но всегда приходят новые. Весь прогресс и собранная коллекция кубиков будут потеряны безвозвратно.",,,,,
ui.window.restart_title,,,Похоронить героев?,,,,,
ui.message.attempts,,,попыток,,,,,
ui.message.left,,,осталось,,,,,
ui.slider.sound_title,,,Звук,,,,,
ui.title.win,,,Победа,,,,,
ui.slider.music_title,,,Музыка,,,,,
