Key,Source,Russian,English
"Config:GameConfig.DefaultInventory.Array.data[0].ID","Config:GameConfig","0",
"Config:GameConfig.DefaultInventory.Array.data[1].ID","Config:GameConfig","1",
"Config:GameConfig.DefaultInventory.Array.data[2].ID","Config:GameConfig","2",
"Config:GameConfig.DefaultInventory.Array.data[3].ID","Config:GameConfig","3",
"Config:GameConfig.DefaultInventory.Array.data[4].ID","Config:GameConfig","4",
"Config:GameConfig.Enemies.Array.data[0].Description","Config:GameConfig","Забрелся в погреб и съел чьё-то сапоги. Почти безобидный, но вонюче прилипает.",
"Config:GameConfig.Enemies.Array.data[0].Name","Config:GameConfig","Малый слайм",
"Config:GameConfig.Enemies.Array.data[1].Description","Config:GameConfig","Разросся на объедках с кухни трактира. Медленный, но затянет в себя зазевавшегося.",
"Config:GameConfig.Enemies.Array.data[1].Name","Config:GameConfig","Слайм",
"Config:GameConfig.Enemies.Array.data[2].Description","Config:GameConfig","Слопал соседей поменьше и раздулся с бочку. Медлителен, но давит массой.",
"Config:GameConfig.Enemies.Array.data[2].Name","Config:GameConfig","Большой слайм",
"Config:GameConfig.Enemies.Array.data[3].Description","Config:GameConfig","Стрелял по деревне ради развлечения — своей плоти уже не осталось. Бьёт издали, брони нет.",
"Config:GameConfig.Enemies.Array.data[3].Name","Config:GameConfig","Скелет лучник",
"Config:GameConfig.Enemies.Array.data[4].Description","Config:GameConfig","Не помнит, кем был при жизни, зато помнит, как держать щит. Крепче лучника, злее вдвойне.",
"Config:GameConfig.Enemies.Array.data[4].Name","Config:GameConfig","Скелет воин",
"Config:GameConfig.Enemies.Array.data[5].Description","Config:GameConfig","Вырвался из треснувшего амулета мага. Бьёт стихией наотмашь, но защититься нечем.",
"Config:GameConfig.Enemies.Array.data[5].Name","Config:GameConfig","Элементаль",
"Config:GameConfig.Enemies.Array.data[6].Description","Config:GameConfig","Тот же амулет, только маг влил в него всю оставшуюся ярость. Урон страшный, брони — ноль.",
"Config:GameConfig.Enemies.Array.data[6].Name","Config:GameConfig","Большой элементаль",
"Config:GameConfig.Enemies.Array.data[7].Description","Config:GameConfig","Вылез из старых катакомб и облюбовал колодец. Шкура плотная, кусает не спеша, но больно.",
"Config:GameConfig.Enemies.Array.data[7].Name","Config:GameConfig","Ящер",
"Config:GameConfig.Enemies.Array.data[8].Description","Config:GameConfig","Вожак стаи из катакомб, носит трофейные доспехи предыдущего героя. Живуч и бьёт крепко.",
